data-id ,data-productcode ,data-price ,href                                                                                     ,data-name                                                   ,data-id ,data-price ,data-brand     ,data-cate  ,item-rating-total
 301608 ,   0131491003759 ,40990000   ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-z-fold5?utm_flashsale=1            ,Điện thoại Samsung Galaxy Z Fold5 5G 256GB                  , 301608 ,33990000   ,Samsung        ,Điện thoại ,               12
 317981 ,   0131491003904 ,22990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-find-n3-flip-hong                            ,Điện thoại OPPO Find N3 Flip 5G Hồng                        , 317981 ,22990000.0 ,OPPO           ,Điện thoại ,                5
 322526 ,   0131491004020 ,22990000.0 ,https://www.dienmayxanh.com/dien-thoai/xiaomi-14-5g-256                                  ,Điện thoại Xiaomi 14 5G 256GB                               , 322526 ,20990000.0 ,Xiaomi         ,Điện thoại ,                0
 245545 ,   0131491003376 ,22990000.0 ,https://www.dienmayxanh.com/dien-thoai/iphone-14-plus                                    ,Điện thoại iPhone 14 Plus 128GB                             , 245545 ,19990000.0 ,iPhone (Apple) ,Điện thoại ,              110
 240259 ,   0131491003368 ,20490000.0 ,https://www.dienmayxanh.com/dien-thoai/iphone-14                                         ,Điện thoại iPhone 14 128GB                                  , 240259 ,17290000.0 ,iPhone (Apple) ,Điện thoại ,              125
 299250 ,   0131491003751 ,25990000   ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-z-flip5?utm_flashsale=1            ,Điện thoại Samsung Galaxy Z Flip5 5G 256GB                  , 299250 ,18990000   ,Samsung        ,Điện thoại ,               31
 323459 ,   0131491004061 ,16890000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s23-fe-5g-256gb                    ,Điện thoại Samsung Galaxy S23 FE 5G 256GB                   , 323459 ,16890000.0 ,Samsung        ,Điện thoại ,                0
 299034 ,   0131491003686 ,19990000   ,https://www.dienmayxanh.com/dien-thoai/oppo-find-n2-flip?utm_flashsale=1                 ,Điện thoại OPPO Find N2 Flip 5G                             , 299034 ,18990000   ,OPPO           ,Điện thoại ,               45
 309816 ,   0131491003857 ,14990000   ,https://www.dienmayxanh.com/dien-thoai/xiaomi-13t-pro?utm_flashsale=1                    ,Điện thoại Xiaomi 13T Pro 5G                                , 309816 ,14990000   ,Xiaomi         ,Điện thoại ,               83
 309821 ,   0131491003739 ,14990000.0 ,https://www.dienmayxanh.com/dien-thoai/realme-11-pro-plus-5g                             ,Điện thoại realme 11 Pro+ 5G                                , 309821 ,12990000.0 ,realme         ,Điện thoại ,                9
 312966 ,   0131491003900 ,12990000.0 ,https://www.dienmayxanh.com/dien-thoai/vivo-v29-5g                                       ,Điện thoại vivo V29 5G                                      , 312966 ,12990000.0 ,vivo           ,Điện thoại ,               11
 304222 ,   0131491003736 ,11990000   ,https://www.dienmayxanh.com/dien-thoai/realme-11-pro?utm_flashsale=1                     ,Điện thoại realme 11 Pro 5G                                 , 304222 ,11990000   ,realme         ,Điện thoại ,                7
 315401 ,   0131491003854 ,12990000.0 ,https://www.dienmayxanh.com/dien-thoai/xiaomi-13t-12gb                                   ,Điện thoại Xiaomi 13T 5G 12GB                               , 315401 ,10990000.0 ,Xiaomi         ,Điện thoại ,               48
 275953 ,   0131491003912 ,11990000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-m54                                ,Điện thoại Samsung Galaxy M54 5G                            , 275953 ,10190000.0 ,Samsung        ,Điện thoại ,               29
 309864 ,   0131491003898 , 9990000.0 ,https://www.dienmayxanh.com/dien-thoai/vivo-v29e-5g                                      ,Điện thoại vivo V29e 5G 12GB                                , 309864 , 9990000.0 ,vivo           ,Điện thoại ,               13
 321771 ,   0131491004040 , 9990000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a55-5g-128gb                       ,Điện thoại Samsung Galaxy A55 5G (8GB/128GB)                , 321771 , 9690000.0 ,Samsung        ,Điện thoại ,                4
 301641 ,   0131491003630 , 9990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-reno8-t-5g                                   ,Điện thoại OPPO Reno8 T 5G 128GB                            , 301641 , 8990000.0 ,OPPO           ,Điện thoại ,              115
 316776 ,   0131491003928 , 7990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-a79-5g                                       ,Điện thoại OPPO A79 5G                                      , 316776 , 7990000.0 ,OPPO           ,Điện thoại ,               14
 321778 ,   0131491004031 , 8290000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a35-5g-128gb                       ,Điện thoại Samsung Galaxy A35 5G 128GB                      , 321778 , 7990000.0 ,Samsung        ,Điện thoại ,                0
 297026 ,   0131491003712 , 8990000.0 ,https://www.dienmayxanh.com/dien-thoai/vivo-v27e                                         ,Điện thoại vivo V27e                                        , 297026 , 7690000.0 ,vivo           ,Điện thoại ,               39
 303585 ,   0131491003660 ,10490000   ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a54-5g-128gb?utm_flashsale=1       ,Điện thoại Samsung Galaxy A54 5G 128GB                      , 303585 , 8190000   ,Samsung        ,Điện thoại ,              186
 286697 ,   0131491003560 , 6990000   ,https://www.dienmayxanh.com/dien-thoai/vivo-y35-2022?utm_flashsale=1                     ,Điện thoại vivo Y35                                         , 286697 , 6990000   ,vivo           ,Điện thoại ,              100
 307891 ,   0131491003725 , 8990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-a98-5g                                       ,Điện thoại OPPO A98 5G                                      , 307891 , 6990000.0 ,OPPO           ,Điện thoại ,              248
 314206 ,   0131491003993 , 7290000.0 ,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-note-13-pro                          ,Điện thoại Xiaomi Redmi Note 13 Pro 128GB                   , 314206 , 6890000.0 ,Xiaomi         ,Điện thoại ,               16
 309847 ,   0131491003731 , 6990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-a78                                          ,Điện thoại OPPO A78                                         , 309847 , 6490000.0 ,OPPO           ,Điện thoại ,              101
 309834 ,   0131491003882 , 7990000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-m34-5g                             ,Điện thoại Samsung Galaxy M34 5G                            , 309834 , 6390000.0 ,Samsung        ,Điện thoại ,               21
 303583 ,   0131491003653 , 8490000   ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a34-5g-128gb?utm_flashsale=1       ,Điện thoại Samsung Galaxy A34 5G 128GB                      , 303583 , 6690000   ,Samsung        ,Điện thoại ,              299
 275435 ,   0131491003772 , 4990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-a58                                          ,Điện thoại OPPO A58 6GB                                     , 275435 , 4690000.0 ,OPPO           ,Điện thoại ,               38
 292672 ,   0131491003595 , 6390000.0 ,https://www.dienmayxanh.com/dien-thoai/realme-10                                         ,Điện thoại realme 10                                        , 292672 , 5390000.0 ,realme         ,Điện thoại ,               82
 274018 ,   0131491003696 , 5890000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a24                                ,Điện thoại Samsung Galaxy A24 6GB                           , 274018 , 4390000.0 ,Samsung        ,Điện thoại ,               77
 319901 ,   0131491003932 , 4990000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a15-128gb                          ,Điện thoại Samsung Galaxy A15 128GB                         , 319901 , 4790000.0 ,Samsung        ,Điện thoại ,               17
 324028 ,   0131491004051 , 5290000.0 ,https://www.dienmayxanh.com/dien-thoai/honor-x7b                                         ,Điện thoại HONOR X7b                                        , 324028 , 4790000.0 ,HONOR          ,Điện thoại ,                0
